,block_number,date_yyyymmdd,hash,out_leg_frm,out_leg_to,out_leg_value,out_leg_asset,out_leg_asset_amt
2,18095672,20230910,0x02755531a35f1f8235e069ddca62b6f6a58d50b7f4245fc14630a552e4c9e4c3,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,25,stETH,24.5050509114693
3,18095859,20230910,0xd90df7ddb6247e3c68294a03e46b7d5b2e5381497fc404fe663b0d16abb282b0,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x23ebcd701fd92867235aeb0174b7c444b9b2b3ad,22,stETH,22.004523358842246
4,18096227,20230910,0x8a04d04b0b5ac278154a6be35aa7ec3dadf0a716f62d48df8ad806d78a23eb65,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xbdc51918c9407d2a7a0f34b68f16c26ea13ac2c9,20,stETH,19.993810660856607
5,18096255,20230910,0x17b036729701f11e9320a8797508610f3895a2a76f6fcd7f4d121b22b5d48315,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xd896bf804c01c4c0fa5c42bf6a4b15c465009481,1,stETH,1.0706705277694042
6,18096521,20230910,0x7b4447c4446fcaed1cbb823836d5d9a21b52101264f3d5a50cb0c559b53327cd,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,194,stETH,193.94559742827067
7,18096640,20230910,0xda8b5f294e96caa1e4e95dc218ce8284cda6200fc4bc26281cb83e7b3a705f30,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,51,stETH,50.51596846360823
8,18097346,20230910,0x54c5d5096c2a1e5f8a6442d61be8544619c5a346c824103fc524b13fe2d98a09,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xd1b47490209ccb7a806e8a45d9479490c040abf4,14,stETH,14.40243489579081
9,18097397,20230910,0x88d253107bcaa2efa7a5b2cc4885e84df42717f5f56ed33e0c0f0ecbe7b27742,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x7d32c90762e22379235fc311fdb16fab399ed40a,77,stETH,76.98756695837378
10,18097398,20230910,0x81f5d21fa267cc352a5916bd7c5c82d07f0e40398420fcc1a9f854e423d16695,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0xce66faca3e5e033b9513255d09adb178e4a45a3c,153,stETH,153.35320737286824
11,18097691,20230910,0x252a1ab6edfa72fac69954990f92abfa4f40c6b7b358543d04e98a9119e7e3f9,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,71,stETH,70.81880566513983
12,18097767,20230910,0x02fdb281bab99c6c53fd7048088eaa333a594044d1686530d41fbca8cbcc171e,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,98,stETH,98.01978101185844
13,18098031,20230910,0x86703051d6f448763f7cafecf97e64b769cf9fcafcf60e761f23293bde5f6b3a,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,2,stETH,1.8365330607612878
14,18098100,20230910,0x3d1091622f0437101a6b54dca12247abfebf87dcec1401ee2d02a32a480d089d,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x802658bc10c73dba544ba02b2c69ef8d4e3faf0d,17,stETH,17.354183605665487
15,18098175,20230910,0x6da36a7eb1bdd8e70b22b48d410a8265d19613a7f3e14037aab0a04eb07433ad,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,18,stETH,18.002777761610407
16,18098682,20230910,0x1890f7c112fd4622d596e240d7686295f539ac1b075da882bbec7f1b42736bce,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,1,stETH,1.0410754920916603
17,18098690,20230910,0x45c711f8199c0adc35c9018a27e9bcff586b4ccb30d574e65fc273066244842a,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.09165829848415061
18,18098691,20230910,0x79660bcdbaeed3a7024d240eb4009fd87a6a1ff11f0975cf3f3a3d70073e5a20,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x3208684f96458c540eb08f6f01b9e9afb2b7d4f0,38,stETH,37.614934621933415
19,18098698,20230910,0xb473541e6a02805857465bc3759c6095bdfdd30aa55f1603178a8f4c91e4497e,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,1,stETH,0.9489527177009159
20,18098698,20230910,0xb473541e6a02805857465bc3759c6095bdfdd30aa55f1603178a8f4c91e4497e,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.009935981577660695
21,18098698,20230910,0xb473541e6a02805857465bc3759c6095bdfdd30aa55f1603178a8f4c91e4497e,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.008424149494306
22,18098698,20230910,0xb473541e6a02805857465bc3759c6095bdfdd30aa55f1603178a8f4c91e4497e,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.037783015078044
23,18098698,20230910,0xb473541e6a02805857465bc3759c6095bdfdd30aa55f1603178a8f4c91e4497e,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.13687269404559602
24,18098733,20230910,0xdcad9c888eed41e5a4960a0baa9e6cd49d3be70f72715bacd480308b01e8813b,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,1,stETH,1.0410049466015536
25,18098733,20230910,0xdcad9c888eed41e5a4960a0baa9e6cd49d3be70f72715bacd480308b01e8813b,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.09164222822278933
26,18098733,20230910,0xdcad9c888eed41e5a4960a0baa9e6cd49d3be70f72715bacd480308b01e8813b,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,1,stETH,0.9489119840571666
27,18098733,20230910,0xdcad9c888eed41e5a4960a0baa9e6cd49d3be70f72715bacd480308b01e8813b,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.009938141588951264
28,18098733,20230910,0xdcad9c888eed41e5a4960a0baa9e6cd49d3be70f72715bacd480308b01e8813b,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.008412510876126792
29,18098733,20230910,0xdcad9c888eed41e5a4960a0baa9e6cd49d3be70f72715bacd480308b01e8813b,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,0x99a58482bd75cbab83b27ec03ca68ff489b5788f,0,stETH,0.03776193394853832
